example_id                                                           | status  | run_time        |
./spec/models/nsb/queue_health_spec.rb[1:2:2:2]                      | passed  | 0.35889 seconds |
./spec/models/nsb/queue_health_spec.rb[1:2:3:1]                      | passed  | 0.02153 seconds |
./spec/models/nsb/queue_health_spec.rb[1:2:4:1]                      | passed  | 0.81963 seconds |
./spec/models/nsb/queue_health_spec.rb[1:2:5:1]                      | passed  | 0.01317 seconds |
./spec/models/nsb/queue_health_spec.rb[1:2:5:2]                      | passed  | 1.7 seconds     |
./spec/models/nsb/refund_note_spec.rb[1:1]                           | passed  | 0.22719 seconds |
./spec/models/nsb/refund_note_spec.rb[1:2]                           | passed  | 2.85 seconds    |
./spec/models/nsb/refund_note_spec.rb[1:3]                           | passed  | 1.56 seconds    |
./spec/models/nsb/refund_note_spec.rb[1:4]                           | passed  | 0.11621 seconds |
./spec/models/nsb/refund_note_spec.rb[1:5]                           | passed  | 1.41 seconds    |
./spec/models/nsb/refund_note_spec.rb[1:6]                           | passed  | 0.07327 seconds |
./spec/models/nsb/refund_note_spec.rb[1:7:1]                         | passed  | 0.19442 seconds |
./spec/models/nsb/shipstation/checkout_isolation_spec.rb[1:1]        | passed  | 4.47 seconds    |
./spec/models/nsb/shipstation/checkout_isolation_spec.rb[1:2]        | passed  | 3.13 seconds    |
./spec/models/nsb/shipstation/checkout_isolation_spec.rb[1:3]        | passed  | 34.7 seconds    |
./spec/models/nsb/shipstation/checkout_isolation_spec.rb[1:4]        | passed  | 4.12 seconds    |
./spec/models/nsb/shipstation/checkout_isolation_spec.rb[1:5]        | passed  | 2.8 seconds     |
./spec/models/nsb/shipstation/client_spec.rb[1:1]                    | passed  | 0.3965 seconds  |
./spec/models/nsb/shipstation/client_spec.rb[1:2:1]                  | passed  | 0.02654 seconds |
./spec/models/nsb/shipstation/client_spec.rb[1:2:2]                  | passed  | 0.01094 seconds |
./spec/models/nsb/shipstation/client_spec.rb[1:2:3]                  | passed  | 0.00048 seconds |
./spec/models/nsb/shipstation/client_spec.rb[1:2:4]                  | passed  | 0.00112 seconds |
./spec/models/nsb/shipstation/client_spec.rb[1:3:1]                  | passed  | 0.001 seconds   |
./spec/models/nsb/shipstation/client_spec.rb[1:3:2]                  | passed  | 0.02142 seconds |
./spec/models/nsb/shipstation/client_spec.rb[1:3:3]                  | passed  | 0.04024 seconds |
./spec/models/nsb/shipstation/client_spec.rb[1:4]                    | passed  | 0.0123 seconds  |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:1]             | passed  | 0.49167 seconds |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:2]             | passed  | 0.46534 seconds |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:3]             | passed  | 0.42583 seconds |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:4]             | passed  | 1.61 seconds    |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:5]             | passed  | 0.47274 seconds |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:6]             | passed  | 0.90179 seconds |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:7]             | passed  | 0.38552 seconds |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:8]             | passed  | 1.52 seconds    |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:9:1]           | passed  | 0.94687 seconds |
./spec/models/nsb/shipstation/order_payload_spec.rb[1:9:2]           | passed  | 0.58883 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:1]                      | passed  | 0.08211 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:2]                      | passed  | 0.11473 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:3]                      | passed  | 0.08068 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:4]                      | passed  | 0.3338 seconds  |
./spec/models/nsb/square/gateway_spec.rb[1:1:5]                      | passed  | 0.06714 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:6]                      | passed  | 0.10402 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:7]                      | passed  | 0.11717 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:8]                      | passed  | 0.09921 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:9]                      | passed  | 0.09547 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:10]                     | passed  | 0.07413 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:1:11]                     | passed  | 0.08768 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:2:1]                      | passed  | 0.13755 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:2:2]                      | passed  | 0.0837 seconds  |
./spec/models/nsb/square/gateway_spec.rb[1:2:3]                      | passed  | 0.11476 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:3:1]                      | passed  | 0.05901 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:3:2]                      | passed  | 0.09651 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:3:3]                      | passed  | 0.10309 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:3:4]                      | passed  | 0.06245 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:4:1]                      | passed  | 0.11818 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:4:2]                      | passed  | 0.14435 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:4:3]                      | passed  | 0.01758 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:4:4]                      | passed  | 0.04937 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:4:5]                      | passed  | 0.04025 seconds |
./spec/models/nsb/square/gateway_spec.rb[1:5:1]                      | passed  | 0.04578 seconds |
